city,location,price,bedrooms,baths,size,year,source,location_clean,location_standardized
Multan,"Boulevard Heights, DHA Defence",6677000.0,1.0,1.0,450.0,2025,live,"boulevard heights, dha defence",Boulevard Heights
Multan,"Boulevard Heights, DHA Defence",8682000.0,1.0,1.0,630.0,2025,live,"boulevard heights, dha defence",Boulevard Heights
Multan,"Boulevard Heights, DHA Defence",4977000.0,0.0,1.0,0.0,2025,live,"boulevard heights, dha defence",Boulevard Heights
Multan,"Boulevard Heights, DHA Defence",6512000.0,0.0,1.0,0.0,2025,live,"boulevard heights, dha defence",Boulevard Heights
Multan,"Buch Executive Villas, Multan",7800000.0,1.0,1.0,765.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Wapda Town Phase 2, Wapda Town",32000000.0,5.0,6.0,2250.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"Bukhari Colony, Multan",32500000.0,7.0,6.0,2475.0,2025,live,"bukhari colony, multan",Bukhari Colony
Multan,"Nasheman Colony, Multan",14000000.0,3.0,4.0,1125.0,2025,live,"nasheman colony, multan",Nasheman Colony
Multan,"Buch Executive Villas, Multan",17000000.0,3.0,4.0,900.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"DHA Phase 1 - Sector M, DHA Phase 1",51000000.0,6.0,6.0,4500.0,2025,live,"dha phase 1 - sector m, dha phase 1",Dha Phase 1 - Sector M
Multan,"Buch Executive Villas, Multan",17600000.0,4.0,5.0,1260.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",18000000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",40000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",14900000.0,4.0,5.0,900.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",31500000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",60000000.0,6.0,6.0,3825.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",36000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",17700000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Agric Town, Multan",26500000.0,7.0,7.0,1710.0,2025,live,"agric town, multan",Agric Town
Multan,"DHA Rumanza Golf Community, DHA Defence",19700000.0,2.0,2.0,1080.0,2025,live,"dha rumanza golf community, dha defence",Dha Rumanza Golf Community
Multan,"DHA Rumanza Golf Community, DHA Defence",28700000.0,3.0,3.0,1462.0,2025,live,"dha rumanza golf community, dha defence",Dha Rumanza Golf Community
Multan,"Buch Executive Villas, Multan",37000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",19700000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
